text,score,perplexity
"партия , с",-9.041241645812988,182.10019525098832
", с который",-8.666755676269531,146.78744767154828
"с который идти",-11.209464073181152,634.4041543941647
"который идти маслов",-11.039573669433594,575.2987327262955
"идти маслов ,",-10.575437545776367,440.4122460868096
"маслов , пройти",-9.431903839111328,228.02158479403093
", пройти около",-10.787525177001953,497.60105704817164
"пройти около пять",-10.122138977050781,339.2616299362475
"около пять тысяча",-10.808805465698242,503.7341176861077
"пять тысяча верста",-10.6077241897583,448.6741486701062
"тысяча верста .",-8.609016418457031,141.98880516397242
"верста . до",-10.664161682128906,463.49005554322946
". до пермь",-10.894502639770508,529.2070972753561
"до пермь маслов",-10.18570327758789,351.9053094478102
"пермь маслов идти",-11.377936363220215,699.0111299249348
"маслов идти по",-9.509124755859375,238.3862428990093
"идти по железный",-11.328838348388672,679.5314900463238
"по железный дорога",-9.576654434204102,247.83555343584413
"железный дорога и",-10.004806518554688,317.103933787559
"дорога и на",-10.383833885192871,394.4195845422364
"и на пароход",-9.94178295135498,305.80581389371133
"на пароход с",-10.720928192138672,478.88589766626177
"пароход с уголовный",-11.12028694152832,602.6591231718847
"с уголовный ,",-9.074434280395508,185.61307690793961
"уголовный , и",-10.23867416381836,362.8010547216757
", и только",-9.056900024414062,183.7490092493811
"и только в",-9.443305969238281,229.5231482703887
"только в этот",-9.989103317260742,314.2503928772084
"в этот город",-9.609798431396484,252.6094584775207
"этот город нехлюдов",-11.048442840576172,578.2434341619493
"город нехлюдов удаться",-10.749922752380371,486.94587151415305
"нехлюдов удаться выхлопотать",-9.198174476623535,199.31666834316067
"удаться выхлопотать перемещение",-10.928367614746094,539.6248037074872
"выхлопотать перемещение она",-9.62895393371582,255.41034483575106
"перемещение она к",-11.25179672241211,650.0536192272647
"она к политический",-9.398691177368164,223.70350790513538
"к политический ,",-9.008146286010742,178.6638019513033
"политический , как",-10.431791305541992,405.4598229362339
", как это",-9.119367599487305,190.4767182196808
"как это советовать",-10.5595121383667,436.3932602094035
"это советовать он",-11.163015365600586,617.6662070033788
"советовать он богодуховский",-11.180444717407227,623.8945319895048
"он богодуховский ,",-9.368659973144531,219.86950227365023
"богодуховский , шедшой",-10.564804077148438,437.7246652712937
", шедшой с",-11.06557846069336,583.9754838494054
"шедшой с этот",-11.27405071258545,658.4346510234998
"с этот же",-8.43465805053711,128.42941745469233
"этот же партия",-10.119293212890625,338.70632226223836
"переезд до пермь",-9.295219421386719,210.76808777666568
"до пермь быть",-9.62913990020752,255.4376882111464
"пермь быть очень",-11.433889389038086,721.8921965849754
"быть очень тяжелый",-9.994806289672852,315.2837391181877
"очень тяжелый для",-9.860786437988281,291.87480616711906
"тяжелый для масловый",-11.418081283569336,715.3528650704218
"для масловый и",-9.79623031616211,281.2273658726103
"масловый и физически",-10.493156433105469,420.0385090677314
"и физически и",-10.489535331726074,419.16386182687745
"физически и нравственно",-10.701835632324219,473.6514902681894
"и нравственно .",-7.7482428550720215,86.50888485473266
"нравственно . физически",-10.771300315856934,492.9752080580762
". физически —",-11.615955352783203,801.6574597213659
"физически — от",-11.204937934875488,632.7533945652433
"— от теснота",-8.439799308776855,128.81007324844086
"от теснота ,",-9.989877700805664,314.39050781689394
"теснота , нечистоты",-10.646965980529785,458.92476598453726
", нечистоты и",-11.471701622009277,737.7774984509468
"нечистоты и отвратительный",-11.021744728088379,569.4245431360291
"и отвратительный насекомое",-10.330650329589844,382.52742975067673
"отвратительный насекомое ,",-10.324382781982422,381.1497993645974
"насекомое , который",-10.837455749511719,512.1108029830561
", который не",-9.298627853393555,211.18203150909096
"который не давать",-10.39659309387207,397.3271786922304
"не давать покой",-10.050292015075684,325.51649737291376
"давать покой ,",-10.996187210083008,561.1084416280078
"покой , и",-11.349895477294922,687.8185263260033
", и нравственно",-10.721683502197266,479.0941584176195
"и нравственно —",-10.342185974121094,385.07603690644635
"нравственно — от",-11.226723670959473,640.7386439182565
"— от столь",-8.451384544372559,129.6719781565275
"от столь же",-10.638998031616211,456.82462659480666
"столь же отвратительный",-10.751077651977539,487.26970740923593
"же отвратительный мужчина",-11.786469459533691,884.3361222317628
"отвратительный мужчина ,",-10.33742618560791,384.0223902101289
"мужчина , который",-9.04598331451416,182.59792105741053
", который ,",-8.196971893310547,112.00643469817284
"который , так",-10.367127418518066,390.64462638042335
", так же",-9.128806114196777,191.5144416025836
"так же как",-8.290307998657227,118.18898410047288
"же как насекомое",-12.046942710876465,1027.3908125383489
"как насекомое ,",-10.00006103515625,316.2388767671381
"насекомое , хотя",-11.090032577514648,592.25419338885
", хотя и",-8.716653823852539,151.06486119094956
"хотя и переменять",-10.107291221618652,336.3742987648483
"и переменять с",-10.70421028137207,474.29939463075726
"переменять с каждый",-11.211848258972168,635.2754386539995
"с каждый этап",-10.391544342041016,396.1741050273021
"каждый этап ,",-10.446232795715332,408.8445368731967
"этап , везде",-10.747411727905273,486.2425182763181
", везде быть",-9.64791488647461,258.213367516334
"везде быть одинаково",-11.036229133605957,574.1921931092636
"быть одинаково назойливый",-10.57153034210205,439.4227984272259
"одинаково назойливый ,",-10.431119918823242,405.3031505893627
"назойливый , прилипчивый",-10.73681640625,483.2858742948229
", прилипчивый и",-11.30076789855957,668.6394162458569
"прилипчивый и не",-11.240157127380371,645.7126309658701
"и не давать",-7.873083114624023,92.95457694666918
"не давать покой",-10.050292015075684,325.51649737291376
"давать покой .",-8.590335845947266,140.47012260645886
"покой . между",-11.295819282531738,666.7374053554372
". между арестантка",-11.153654098510742,614.346692715339
"между арестантка и",-10.49919319152832,421.50069774219884
"арестантка и арестант",-10.94371223449707,544.4124628278547
"и арестант ,",-8.978595733642578,175.65031518040692
"арестант , надзиратель",-10.324278831481934,381.1269925315307
", надзиратель и",-10.398744583129883,397.8195719717478
"надзиратель и конвойный",-9.634922981262207,256.2894595793744
"и конвойный так",-9.436153411865234,228.58006557321028
"конвойный так установиться",-10.291845321655273,374.0772789434781
"так установиться обычай",-10.32777214050293,381.89417584364804
"установиться обычай цинический",-10.873712539672852,522.9114300099732
"обычай цинический разврат",-10.870438575744629,521.92685560598
"цинический разврат ,",-10.006187438964844,317.3561067974188
"разврат , что",-10.323989868164062,381.0636008896279
", что всякий",-9.758935928344727,275.2542175283763
"что всякий ,",-10.395246505737305,397.01930651595217
"всякий , в",-10.409894943237305,400.3812543282473
", в особенность",-8.693161010742188,149.03567973427002
"в особенность молодой",-9.74924373626709,273.7227749023661
"особенность молодой женщина",-12.308306694030762,1194.1989184202637
"молодой женщина ,",-8.012470245361328,100.72042771047735
"женщина , если",-10.318305015563965,379.8186220781038
", если она",-8.204147338867188,112.47003614613836
"если она не",-10.127496719360352,340.3095837756626
"она не хотеть",-7.9499192237854,97.15827733590301
"не хотеть пользоваться",-10.65781307220459,461.79929763665115
"хотеть пользоваться свой",-11.303170204162598,669.5647027953092
"пользоваться свой положение",-11.283658027648926,662.0861558296895
"свой положение женщина",-10.949140548706055,546.1162974938463
"положение женщина ,",-9.179656982421875,197.20333063009045
"женщина , надо",-10.381860733032227,393.97184224272235
", надо быть",-8.3652925491333,123.40226676416043
"надо быть быть",-9.427807807922363,227.4845740079844
"быть быть постоянно",-10.595102310180664,445.42601422147885
"быть постоянно настороже",-10.610837936401367,449.479080856443
"постоянно настороже .",-8.505168914794922,133.7495189522268
"настороже . и",-11.445656776428223,726.7987874881744
". и этот",-9.194199562072754,198.8611243294497
"и этот всегдашний",-10.26058292388916,367.40556567934357
"этот всегдашний положение",-11.09414005279541,593.6562073418812
"всегдашний положение страх",-11.23671817779541,644.4356306915997
